foir,disposable_income,liquidity_score,label
0.5974,44689.22,0.7389,0.6415
0.6817,-11697.27,0.5761,0.3413
0.116,66096.93,0.4583,0.778
0.3499,84413.61,0.8628,0.7751
0.6239,31045.44,0.7759,0.5579
0.5063,74516.31,0.4813,0.5632
0.0497,-11839.61,0.6624,0.6792
0.6527,81281.06,0.7752,0.6215
1.0,35697.51,0.7405,0.3377
0.1788,51355.13,0.5786,0.7436
0.2355,24207.39,0.4015,0.5716
0.6405,-14155.05,0.5237,0.2911
0.7133,-5522.28,0.4303,0.1925
0.5927,91420.94,0.6853,0.6356
0.488,70207.11,0.7694,0.7114
0.9014,50232.18,0.5001,0.3795
0.1834,18512.41,0.4948,0.6092
0.4377,-3709.83,0.7597,0.5121
0.3342,14845.94,0.6393,0.6116
0.1822,91924.22,0.872,0.8988
0.8389,63126.79,0.8017,0.5389
0.457,63480.09,0.5988,0.6692
0.4309,41868.31,0.7387,0.647
0.6106,-7949.6,0.5488,0.3679
0.882,71082.04,0.5422,0.425
0.1671,54668.05,0.8466,0.8604
0.0104,85274.96,0.8609,0.9773
0.4345,56099.31,0.5468,0.6123
0.7757,97321.59,0.8382,0.5502
0.21,79663.47,0.7226,0.8346
0.2955,7488.87,0.7968,0.6195
0.1254,-6997.31,0.7383,0.6493
0.1525,27923.2,0.6237,0.7161
0.8452,60893.37,0.7704,0.4976
0.3873,45856.51,0.8687,0.7351
0.71,13976.84,0.8298,0.4398
0.219,2747.31,0.6131,0.6322
0.73,40730.65,0.589,0.4432
0.7788,35602.13,0.5732,0.36
0.8719,-6358.51,0.829,0.3505
0.0949,86465.36,0.7607,0.8962
1.0,73643.01,0.4717,0.3427
0.2034,36890.43,0.3712,0.6326
0.6231,89191.45,0.7084,0.5663
0.3135,-3908.78,0.6761,0.5438
1.0,77725.06,0.7869,0.4304
0.5625,86243.53,0.8328,0.7006
0.5671,18287.52,0.8415,0.5417
0.9564,3004.47,0.5549,0.1947
1.0,85168.44,0.6603,0.4009
0.9152,49431.72,0.7789,0.4611
1.0,-19264.41,0.6492,0.1486
0.5839,40548.25,0.7202,0.5397
0.4449,81532.92,0.6998,0.6716
0.549,-6831.94,0.9276,0.4763
0.4521,28228.34,0.8009,0.6275
0.2592,74421.52,0.9378,0.8935
0.2589,-10378.6,0.4891,0.4798
0.7864,60969.46,0.8459,0.5655
0.1741,78009.12,0.919,0.8783
0.8538,72021.79,0.8751,0.5899
1.0,15740.84,0.9061,0.344
0.8026,96701.81,0.5207,0.4601
0.671,89771.29,0.2821,0.4302
0.4437,-14793.48,0.7256,0.4858
0.2926,48546.96,0.4078,0.6597
0.8326,30791.59,0.932,0.4489
0.6281,92913.24,0.4205,0.5484
0.5486,-12371.88,0.9133,0.4898
0.7253,37186.18,0.4119,0.4018
0.7079,57424.05,0.8888,0.5698
0.4314,67349.72,0.2837,0.5538
0.6086,48247.35,0.8501,0.6423
0.8638,50023.5,0.7845,0.4958
0.2611,-18988.02,0.5849,0.5342
0.7594,18353.26,0.9244,0.4455
0.5366,43076.0,0.842,0.6222
0.1242,-11833.89,0.6213,0.5652
0.3286,13538.64,0.7954,0.6056
0.6163,78847.08,0.6536,0.5848
0.6654,35589.27,0.6034,0.5128
0.4215,99025.31,0.8984,0.7628
0.5763,75771.38,0.4252,0.4986
0.5637,13901.19,0.906,0.5179
0.4019,78025.55,0.6546,0.6891
0.1518,-16599.87,0.7204,0.6883
0.1944,-5183.34,0.7504,0.6611
0.8966,23257.7,0.4643,0.2287
0.7116,11861.7,0.8102,0.4701
0.5174,68146.99,0.6728,0.6719
0.27,18007.64,0.6422,0.6246
0.976,46619.26,0.7342,0.4597
0.8402,20327.59,0.3787,0.2501
0.8775,78693.3,0.6502,0.3981
0.3361,50476.06,0.9265,0.8577
0.7158,34896.94,0.802,0.4738
0.7246,83841.24,0.718,0.6106
0.1207,22507.33,0.8542,0.794
0.343,-3039.75,0.9562,0.6024
0.9405,4155.02,0.8716,0.3176
0.5254,50138.58,0.6281,0.6927
0.7338,31285.57,0.6875,0.4417
0.6181,54781.5,0.7142,0.5442
0.4635,-7223.55,0.9345,0.5513
0.7138,90174.64,0.5465,0.4951
0.7435,7768.75,0.7628,0.455
0.4138,57981.93,0.8187,0.8138
0.7001,63905.43,0.4045,0.4371
0.757,95606.79,0.7068,0.5482
0.0654,-11874.53,0.7448,0.6868
0.4971,96550.08,0.5687,0.6149
1.0,80955.59,0.8775,0.4654
0.2866,97444.58,0.4887,0.6591
0.7257,-19968.96,0.886,0.3679
0.4578,13513.19,0.5177,0.4733
0.4122,73571.82,0.8046,0.7396
