salary_slip_amount,bank_credit_amount,anomalies,label
121111.51,86012.38,0,0.7904
101205.62,106196.65,0,0.987
106592.94,108569.07,0,0.9992
190796.22,118027.09,2,0.492
115575.51,111704.87,0,0.9753
50406.62,52188.99,0,0.9778
53427.81,52925.71,0,0.9442
62891.67,60937.38,0,0.9507
68083.26,69745.11,0,0.9469
69837.78,49306.8,0,0.7863
92141.66,91616.65,0,1.0
97911.32,68814.61,0,0.8057
107095.36,103147.41,0,0.9716
54473.02,55454.24,0,1.0
133107.94,0.0,1,0.3765
94559.45,98082.73,0,0.9871
89232.12,90591.85,0,1.0
67264.25,67477.21,0,0.9706
48270.53,49210.62,0,0.991
61805.88,58039.92,0,0.9471
138598.44,146088.15,0,0.9506
54883.32,56103.31,0,1.0
76951.59,77710.66,0,0.9461
72091.24,57367.65,0,0.8204
90395.89,89277.57,0,0.9805
123327.52,117495.15,0,0.9844
61720.61,0.0,1,0.3819
73506.6,74360.31,0,0.982
49287.68,29102.43,2,0.4221
91901.72,71410.25,0,0.8363
55088.67,52226.28,0,0.9709
31707.61,31755.97,0,0.99
43309.82,42619.7,0,0.9786
33359.29,33207.56,0,0.9825
49261.55,50190.57,0,0.9593
80609.36,79246.01,0,1.0
113778.79,84395.8,0,0.818
57733.52,43305.99,0,0.8454
63690.16,38404.28,2,0.4269
136698.89,77512.6,2,0.4253
61747.25,36459.03,2,0.4484
33089.82,32161.01,0,0.9962
92220.05,89911.08,0,0.9777
71168.86,71027.66,0,0.9777
58813.56,60403.63,0,0.984
65690.73,62314.25,0,0.9878
82440.61,49127.33,2,0.4739
69417.67,70847.73,0,1.0
31240.44,31545.24,0,0.953
43554.15,42073.04,0,0.9561
47054.16,43483.24,0,0.9297
48487.17,48276.42,0,1.0
92271.39,68846.73,0,0.8109
36107.0,37564.87,0,1.0
60205.65,61050.64,0,0.9757
72257.91,74063.55,0,0.9781
188443.15,116698.39,2,0.4507
55271.11,55468.73,0,0.9807
131025.99,130113.58,0,0.9751
36439.1,32901.55,0,0.9686
102214.63,0.0,1,0.3894
58689.33,56873.08,0,0.9567
106613.2,102138.1,0,0.9336
66939.41,47875.21,0,0.7586
75548.66,55420.25,0,0.839
124761.49,119729.86,0,0.96
90483.02,90365.55,0,0.9456
34297.9,34791.43,0,1.0
120856.12,116933.4,0,0.9723
97196.51,96390.31,0,0.9773
56311.62,55332.76,0,0.9928
53257.62,53496.6,0,0.9823
79286.76,83740.84,0,0.9837
114650.43,119634.33,0,0.9938
97173.1,92487.7,0,0.9525
65133.15,66462.43,0,0.9571
54670.61,0.0,1,0.4246
115319.38,118485.2,0,0.966
54708.23,53593.68,0,0.992
61520.25,62653.54,0,0.9799
85293.59,87093.38,0,0.9937
79939.88,81563.83,0,1.0
59433.3,58311.46,0,0.9777
65773.75,0.0,1,0.3815
54312.42,53526.55,0,1.0
121736.29,118566.56,0,0.9963
107526.5,107963.5,0,0.9635
85501.33,84020.96,0,0.9901
71206.97,72921.4,0,0.9792
97660.56,103348.35,0,0.9843
37910.83,39870.57,0,0.9714
150328.64,150263.53,0,0.9942
153282.42,153346.58,0,1.0
32339.98,32286.06,0,0.9769
140364.11,92656.89,2,0.5169
46853.39,46905.0,0,0.9914
158991.75,151304.35,0,0.9792
53489.34,52454.15,0,0.9769
43040.2,41744.6,0,0.9871
132100.8,130480.93,0,1.0
64287.62,63692.97,0,0.9771
98093.63,59352.27,2,0.479
110360.93,106554.42,0,0.9993
128346.11,129645.91,0,0.9755
84415.51,87677.37,0,0.9459
91619.42,53000.82,2,0.397
133657.26,134135.88,0,0.9399
108436.08,72393.81,2,0.4983
40962.23,42108.59,0,0.9879
100821.57,69789.6,2,0.5859
49558.4,51218.8,0,0.9928
56218.05,37310.33,2,0.5401
159114.75,106093.27,2,0.5634
133656.68,91589.9,2,0.5176
68822.53,72111.15,0,1.0
109397.13,113843.31,0,0.955
243375.38,162553.56,2,0.5519
239484.95,154602.14,2,0.535
51501.2,51507.09,0,0.9764
76228.14,74527.26,0,0.9802
64694.84,63901.36,0,0.9919
36024.94,34555.26,0,1.0
97670.47,98489.58,0,1.0
36398.79,0.0,1,0.4219
63597.16,63082.97,0,0.9893
55419.92,55983.81,0,1.0
72558.53,43740.7,2,0.4737
189449.8,110797.75,2,0.4352
70539.49,0.0,1,0.3868
144207.84,0.0,1,0.4052
91633.74,90159.68,0,1.0
93038.33,90416.07,0,0.9796
85819.57,0.0,1,0.3808
104788.9,101725.0,0,1.0
52522.67,52079.28,0,0.9395
156700.79,85270.62,2,0.4065
60611.07,58682.2,0,0.9627
77166.47,76649.03,0,1.0
109705.9,108228.87,0,0.9725
165871.77,95794.79,2,0.4388
52219.61,53582.66,0,0.9563
141736.23,79857.5,2,0.4156
89630.27,87971.76,0,0.988
104544.33,74888.89,0,0.8111
58271.39,57693.66,0,0.9692
52352.72,34670.41,2,0.5675
179613.62,134029.26,0,0.8159
229338.2,163019.48,0,0.7827
52952.44,50527.35,0,0.9525
42504.82,42822.6,0,1.0
146987.23,143769.83,0,0.9784
104060.77,59801.71,2,0.4214
128669.17,123999.93,0,0.9604
102227.33,106403.02,0,0.9905
124153.32,120823.7,0,1.0
66094.6,66262.9,0,1.0
62831.28,62183.13,0,0.9973
51316.36,52946.22,0,1.0
87164.76,91790.77,0,0.9915
164634.79,90462.52,2,0.3796
38788.48,39612.34,0,0.989
87915.24,88922.22,0,0.9843
101442.52,62211.63,2,0.4598
59170.14,37841.39,2,0.4619
92959.55,58620.3,2,0.4834
95068.64,99585.4,0,0.9823
117623.0,114589.55,0,0.9845
159562.7,101399.02,2,0.472
55630.29,55506.89,0,0.9801
140124.58,145081.37,0,1.0
29573.38,30234.18,0,0.9969
89285.83,92198.4,0,0.9921
53645.77,53070.91,0,0.98
151768.41,102065.4,2,0.5591
76718.21,75495.97,0,0.9584
98564.2,99286.62,0,0.9569
69025.8,47454.87,2,0.5867
48677.78,50289.93,0,0.9813
95461.11,64892.87,2,0.5573
36723.94,38056.41,0,1.0
69286.47,72167.21,0,1.0
196930.59,125100.65,2,0.5236
235910.81,138939.54,2,0.3948
45795.57,44235.07,0,0.9832
74755.64,77995.92,0,0.9933
151946.36,94484.06,2,0.5363
37513.06,36670.78,0,0.9938
146094.72,143564.75,0,0.9697
113247.02,117054.92,0,1.0
143547.03,141005.22,0,0.9866
67069.4,45637.21,2,0.5782
80571.76,61172.26,0,0.8717
80596.24,78564.46,0,0.9551
160701.45,161307.57,0,0.9759
76682.51,78756.7,0,1.0
56417.8,56879.0,0,0.9706
40034.2,41686.66,0,0.9926
146322.32,0.0,1,0.4168
168831.47,94544.97,2,0.4067
143392.85,142039.51,0,0.9523
40048.59,39505.69,0,1.0
113100.25,115975.47,0,0.983
154216.9,92179.29,2,0.4738
79216.79,79080.26,0,1.0
44551.49,45480.19,0,0.988
63419.31,65403.61,0,0.9644
109028.94,107378.82,0,0.9775
40890.75,42209.89,0,0.9822
106726.25,106148.7,0,0.975
91151.84,63100.17,2,0.5646
64098.89,64897.28,0,0.9729
129240.21,84285.01,2,0.5198
56742.0,0.0,1,0.3678
65237.97,67765.91,0,0.9891
53799.4,52587.18,0,0.9968
51595.53,52011.41,0,0.9568
194204.16,109704.23,2,0.396
87396.95,54544.99,2,0.5213
58984.99,58685.98,0,0.9883
52471.62,50383.97,0,0.9549
168916.93,115944.54,2,0.5864
48847.95,49848.39,0,0.9714
53696.44,52991.78,0,1.0
56906.4,60359.43,0,0.9633
41886.1,44028.2,0,0.9997
55265.47,54378.05,0,0.9655
93138.67,65845.45,0,0.802
63618.71,60727.58,0,0.9605
50105.9,49139.43,0,0.9899
68093.47,70844.09,0,1.0
