identity_confidence,income_confidence,foir,cibil_score_normalized,cashflow_stability,employment_tier,loan_to_income_ratio,label
0.801,0.8421,0.3665,0.8446,0.7475,3,3.3566,0.7094
0.8613,0.6581,0.625,0.5134,0.7648,5,2.4329,0.5956
0.9356,0.6928,0.5068,0.609,0.6839,3,6.8668,0.5565
0.8299,0.8413,0.308,0.899,0.5504,2,2.3555,0.7206
0.9037,0.6297,0.5812,0.7245,0.7404,2,3.1038,0.5416
0.8733,0.87,0.9661,0.7542,0.8744,3,3.3377,0.5547
0.8566,0.8229,0.7672,0.5229,0.9083,2,1.2671,0.6295
0.9332,0.6032,0.5938,0.4781,0.6488,4,0.7513,0.6391
0.7853,0.8599,0.773,0.8377,0.7735,4,0.567,0.7059
0.8408,0.6625,0.1103,0.4049,0.5925,2,7.24,0.5749
0.867,0.7982,0.7149,0.5744,0.3521,2,5.9075,0.4618
0.7814,0.7633,0.5451,0.6534,0.8201,1,7.4766,0.5259
0.7125,0.687,0.7026,0.9589,0.7105,3,1.8417,0.5938
0.7635,0.9236,0.6863,0.7838,0.4983,4,5.0631,0.4833
0.6831,0.7738,0.645,0.4381,0.614,2,0.783,0.5663
0.8736,0.5595,0.2066,0.8972,0.934,2,6.6286,0.6453
0.718,0.6251,0.2479,0.4793,0.6969,2,3.4574,0.57
0.8451,0.923,0.4759,0.8481,0.7147,2,2.9055,0.7051
0.8766,0.8379,0.2276,0.5511,0.6662,1,2.0676,0.7007
0.8099,0.9615,0.1677,0.9379,0.5508,1,7.0056,0.7003
0.8613,0.8414,1.0,0.7695,0.601,5,4.2594,0.4894
0.8545,0.638,0.3792,0.8172,0.8837,4,6.9694,0.5318
0.7546,0.689,0.1029,0.8192,0.4033,2,6.3433,0.6061
0.9064,0.6504,0.6654,0.907,0.9,3,6.0677,0.5691
0.6739,0.827,0.8202,0.7705,0.8121,1,7.9688,0.4781
0.8338,0.7029,0.8512,0.7316,0.885,5,5.7209,0.4586
0.7352,0.9067,0.1471,0.9177,0.7313,3,7.6232,0.6456
0.824,0.8604,0.3175,0.8983,0.7647,3,0.5431,0.7978
